Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
2D Materials,2053-1583,Yes,,,IOP
3 Biotech,2190-5738,Yes,,,Springer Nature (Springer)
4OR,1614-2411,Yes,,,Springer Nature (Springer)
a/b: Auto/Biography Studies,2151-7290,Yes,,,Taylor and Francis
AACE Clinical Case Reports,2376-0605,No,Gold OA Title.  15% discount on APC charges,,Elsevier
AAPS PharmSciTech,1530-9932,Yes,,,Springer Nature (Springer)
Abdominal Radiology,2366-0058,Yes,,,Springer Nature (Springer)
Abgadiyat,2213-8609,Yes,,,BRILL
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,1865-8784,Yes,,,Springer Nature (Springer)
aBIOTECH,2662-1738,Yes,,,Springer Nature (Springer)
Academic Pathology,2374-2895,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Academic Pediatrics,1876-2859,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Academic Psychiatry,1545-7230,Yes,,,Springer Nature (Springer)
Academic Radiology,1076-6332,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Access Microbiology (fully OA),2516-8290,Yes,,,Microbiology Society
Accident Analysis & Prevention,0001-4575,Yes,,,Elsevier
Accountability in Research,1545-5815,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Accounting and Business Research,2159-4260,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Accounting Education,1468-4489,Yes,,,Taylor and Francis
Accounting Forum,1467-6303,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Accounting History Review,2155-286X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Accounting in Europe,1744-9499,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Accounting, Economics, and Law: A Convivium",2152-2820,Yes,,,De Gruyter
"Accounting, Organizations and Society",0361-3682,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Accreditation and Quality Assurance,1432-0517,Yes,,,Springer Nature (Springer)
Acoustical Physics,1562-6865,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acoustics Australia,1839-2571,Yes,,,Springer Nature (Springer)
"Acta Agriculturae Scandinavica, Section A — Animal Science",1651-1972,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Acta Agriculturae Scandinavica, Section B — Soil & Plant Science",1651-1913,No,Fully open access journal,,Taylor and Francis
Acta Analytica,1874-6349,Yes,,,Springer Nature (Springer)
Acta Applicandae Mathematicae,1572-9036,Yes,,,Springer Nature (Springer)
Acta Archaeologica,1600-0390,Yes,,,BRILL
Acta Astronautica,0094-5765,Yes,,,Elsevier
Acta Biomaterialia,1742-7061,Yes,,,Elsevier
Acta Biotheoretica,1572-8358,Yes,,,Springer Nature (Springer)
Acta Borealia,1503-111X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Cardiologica,0373-7934,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Chirurgica Belgica,0001-5458 ,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Clinica Belgica,2295-3337,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Colombiana de Cuidado Intensivo,0122-7262,No,No OA Option available. Subscription-only Journal,,Elsevier
Acta Cytologica,,Yes,,,Karger
Acta Diabetologica,1432-5233,Yes,,,Springer Nature (Springer)
Acta Ecologica Sinica,1872-2032,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
acta ethologica,1437-9546,Yes,,,Springer Nature (Springer)
Acta Geochimica,2365-7499,Yes,,,Springer Nature (Springer)
Acta Geodaetica et Geophysica,2213-5820,Yes,,,Springer Nature (Springer)
Acta Geophysica,1895-7455,Yes,,,Springer Nature (Springer)
Acta Geotechnica,1861-1133,Yes,,,Springer Nature (Springer)
Acta Haematologica,,Yes,,,Karger
Acta Histochemica,0065-1281,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Acta Informatica,1432-0525,Yes,,,Springer Nature (Springer)
Acta Linguistica Hafniensia,1949-0763,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Materialia,1359-6454,Yes,,,Elsevier
Acta Mathematica Hungarica,1588-2632,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acta Mathematica Scientia,1572-9087,Yes,,,Springer Nature (Springer)
"Acta Mathematica Sinica, English Series",1439-7617,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acta Mathematica Vietnamica,2315-4144,Yes,,,Springer Nature (Springer)
"Acta Mathematicae Applicatae Sinica, English Series",1618-3932,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acta Mechanica,1619-6937,Yes,,,Springer Nature (Springer)
Acta Mechanica Sinica,1614-3116,Yes,,,Springer Nature (Springer)
Acta Mechanica Solida Sinica,1860-2134,Yes,,,Springer Nature (Springer)
Acta Metallurgica Sinica (English Letters),2194-1289,Yes,,,Springer Nature (Springer)
Acta Neurochirurgica,0942-0940,Yes,,,Springer Nature (Springer)
Acta Neurologica Belgica,2240-2993,Yes,,,Springer Nature (Springer)
Acta Neuropathologica,1432-0533,Yes,,,Springer Nature (Springer)
Acta Neuropsychiatrica,1601-5215,Yes,,,CUP
Acta Numerica,1474-0508,Yes,,,CUP
Acta Oceanologica Sinica,1869-1099,Yes,,,Springer Nature (Springer)
Acta Odontologica Scandinavica,1502-3850,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Oecologica,1146-609X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Acta Oncologica,1651-226X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Oto-Laryngologica,1651-2251,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Acta Oto-Laryngologica Case Reports,2377-2484,No,Fully open access journal,,Taylor and Francis
Acta Otorrinolaringológica (English Edition),2173-5735,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Acta Otorrinolaringológica Española,0001-6519,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Acta Parasitologica,1896-1851,Yes,,,Springer Nature (Springer)
Acta Pharmaceutica Sinica B,2211-3835,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Acta Pharmacologica Sinica,1745-7254,Yes,,,Springer Nature (Academic Journals on Nature.com)
Acta Physiologiae Plantarum,1861-1664,Yes,,,Springer Nature (Springer)
Acta Politica,1741-1416,Yes,,,Springer Nature (Palgrave Macmillan)
Acta Psychologica,0001-6918,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Acta Tropica,0001-706X,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Actas Dermo-Sifiliográficas,0001-7310,No,Society invoices APC - not on Elsevier systems,,Elsevier
Actas Urológicas Españolas,0210-4806,No,No OA Option available. Subscription-only Journal,,Elsevier
Actas Urológicas Españolas (English Edition),2173-5786,No,No OA Option available. Subscription-only Journal,,Elsevier
Action in Teacher Education,2158-6098,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Action Learning: Research and Practice,1476-7341,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"Activities, Adaptation & Aging",1544-4368,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Ad Hoc Networks,1570-8705,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Adaptation,1755-0645,Yes,,,OUP
Adaptive Human Behavior and Physiology,2198-7335,Yes,,,Springer Nature (Springer)
Addiction Neuroscience,2772-3925,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Addiction Research & Theory,1476-7392,Yes,,,Taylor and Francis
Addictive Behaviors,0306-4603,Yes,,,Elsevier
Addictive Behaviors Reports,2352-8532,No,Gold OA Title.  15% discount on APC charges,,Elsevier
