Journal Name,Journal Type,Journal Abbreviation,ISSN,eISSN,Journal Website,Publisher Name,Imprint Name,Included in CAUL OA agreement?,Included in CAUL discount scheme?,Notes,Last Updated
Philosophical Transactions A,Hybrid,Trans A,1364-503X,1471-2962,https://royalsocietypublishing.org/journal/rsta,Royal Society,,Yes,,,2024-01-24
Philosophical Transactions B,Hybrid,Trans B,0962-8436,1471-2970,https://royalsocietypublishing.org/journal/rstb,Royal Society,,Yes,,,2024-01-24
Proceedings A,Hybrid,Proc A,,1471-2946,https://royalsocietypublishing.org/journal/rspa,Royal Society,,Yes,,,2024-01-24
Proceedings B,Hybrid,Proc B,,1471-2970,https://royalsocietypublishing.org/journal/rstb,Royal Society,,Yes,,,2024-01-24
Biology Letters,Hybrid,Bio Letters,,1744-957X,https://royalsocietypublishing.org/journal/rsbl,Royal Society,,Yes,,,2024-01-24
Interface,Hybrid,,,1742-5662,https://royalsocietypublishing.org/journal/rsif,Royal Society,,Yes,,,2024-01-24
Interface Focus,Hybrid,,,2042-8901,https://royalsocietypublishing.org/journal/rsfs,Royal Society,,Yes,,,2024-01-24
Notes & Records,Hybrid,,,1743-0178,https://royalsocietypublishing.org/journal/rsnr,Royal Society,,Yes,,,2024-01-24
Open Biology,Full Open Access,RSOB,,2046-2441,https://royalsocietypublishing.org/journal/rsob,Royal Society,,Yes,,,2024-01-24
Royal Society Open Science,Full Open Access,RSOS,,2054-5703,https://royalsocietypublishing.org/journal/rsos,Royal Society,,Yes,,,2024-01-24
Applied Mechanics Reviews,,AMREAD,0003-6900,0003-6900,https://asmedigitalcollection.asme.org/appliedmechanicsreviews,ASME,,Yes,,Backfile volumes 38-53 (years 1985-2000) were released January 2010,2024-01-24
Journal of Applied Mechanics,,JAMCAV,0021-8936,1528-9036,https://asmedigitalcollection.asme.org/appliedmechanics,ASME,,Yes,,Backfile volumes 38-53 (years 1980-1989) were released January 2010,2024-01-24
Journal of Biomechanical Engineering,,JBENDY,0148-0731,1528-8951,https://asmedigitalcollection.asme.org/biomechanical,ASME,,Yes,,Backfile volumes 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Computing and Information Science in Engineering,,JCISB6,1530-9827,1530-9827,https://asmedigitalcollection.asme.org/computingengineering,ASME,,Yes,,,2024-01-24
Journal of Computational and Nonlinear Dynamics,,JCNDDM,1555-1415,1555-1423,https://asmedigitalcollection.asme.org/computationalnonlinear,ASME,,Yes,,,2024-01-24
"Journal of Dynamic Systems, Measurement, and Control",,JDSMAA,1528-9028,0022-0434,https://asmedigitalcollection.asme.org/dynamicsystems,ASME,,Yes,,Backfile volumes 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Engineering Materials and Technology,,JEMTA8,0094-4289,1528-8889,https://asmedigitalcollection.asme.org/materialstechnology,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Electronic Packaging,,JEPAE4,1528-9044,1043-7398,https://asmedigitalcollection.asme.org/electronicpackaging,ASME,,Yes,,Backfile volume 111-(year 1989) was released January 2010,2024-01-24
