Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Acta Neuropsychiatrica,1601-5215,Yes,,,CUP
Acta Numerica,1474-0508,Yes,,,CUP
Advances in Applied Probability,1475-6064,No,No OA available,,CUP
Advances in Archaeological Practice,2326-3768,Yes,,,CUP
Africa,1750-0184,Yes,,,CUP
Africa Bibliography,1757-1642,No,No OA available,,CUP
Africa Bibliography Research & Development,2752-6402,Yes,,,CUP
African Studies Review,1555-2462,Yes,,,CUP
Ageing & Society,1469-1779,Yes,,,CUP
Agricultural and Resource Economics Review,2372-2614,Yes,,,CUP
AI EDAM,1469-1760,Yes,,,CUP
AJIL Unbound,2398-7723,Yes,,,CUP
American Antiquity,2325-5064,Yes,,,CUP
American Journal of International Law,2161-7953,Yes,,,CUP
American Journal of Law & Medicine,2375-835X,Yes,,,CUP
American Political Science Review,1537-5943,Yes,,,CUP
Americas,1533-6247,Yes,,,CUP
Anatolian Studies,2048-0849,Yes,,,CUP
Ancient Mesoamerica,1469-1787,Yes,,,CUP
Anglo-Saxon England,1474-0532,Yes,,,CUP
Animal Health Research Reviews,1475-2654,Yes,,,CUP
"Annales. Histoire, Sciences Sociales",1953-8146,No,No OA available,,CUP
"Annales. Histoire, Sciences Sociales: English Edition",2268-3763,No,No OA available,,CUP
Annals of Actuarial Science,1748-5002,Yes,,,CUP
Annals of Glaciology,1727-5644,Yes,,,CUP
Annual of the British School at Athens,2045-2403,Yes,,,CUP
Annual Review of Applied Linguistics,1471-6356,Yes,,,CUP
Antarctic Science,1365-2079,Yes,,,CUP
Antichthon,2056-8819,No,No OA available,,CUP
Antimicrobial Stewardship & Healthcare Epidemiology ,2732-494X,Yes,,,CUP
Antiquaries Journal,1758-5309,Yes,,,CUP
Antiquity,1745-1744,Yes,,,CUP
ANZIAM Journal,1446-8735,Yes,,,CUP
Applied Psycholinguistics,1469-1817,Yes,,,CUP
Arabic Sciences and Philosophy,1474-0524,Yes,,,CUP
Archaeological Dialogues,1478-2294,Yes,,,CUP
Archaeological Reports,2041-4102,Yes,,,CUP
Architectural History,2059-5670,Yes,,,CUP
arq: Architectural Research Quarterly,1474-0516,Yes,,,CUP
Art Libraries Journal,2059-7525,Yes,,,CUP
Asian Journal of Comparative Law,1932-0205,Yes,,,CUP
Asian Journal of International Law,2044-2521,Yes,,,CUP
Asian Journal of Law and Society,2052-9023,Yes,,,CUP
ASTIN Bulletin: The Journal of the IAA,1783-1350,Yes,,,CUP
Australasian Journal of Special and Inclusive Education,2515-074X,Yes,,,CUP
Australian Journal of Environmental Education,2049-775X,Yes,,,CUP
Austrian History Yearbook ,1558-5255,Yes,,,CUP
Behavioral and Brain Sciences,1469-1825,No,No OA available,,CUP
Behaviour Change,2049-7768,Yes,,,CUP
Behavioural and Cognitive Psychotherapy,1469-1833,Yes,,,CUP
Behavioural Public Policy,2398-0648,Yes,,,CUP
Bilingualism: Language and Cognition,1469-1841,Yes,,,CUP
Biological Imaging,2633-903X,Yes,,,CUP
Bird Conservation International,1474-0001,Yes,,,CUP
BJHS Themes,2056-354X,Yes,,,CUP
BJPsych Advances,2056-4686,Yes,,,CUP
BJPsych Bulletin,2056-4708,Yes,,,CUP
BJPsych International,2058-6264,Yes,,,CUP
BJPsych Open,2056-4724,Yes,,,CUP
Brain Impairment,1839-5252,Yes,,,CUP
Britannia,1753-5352,Yes,,,CUP
British Actuarial Journal,2044-0456,Yes,,,CUP
British Catholic History,2055-7981,Yes,,,CUP
British Journal for the History of Science,1474-001X,Yes,,,CUP
British Journal of Music Education,1469-2104,Yes,,,CUP
British Journal of Nutrition,1475-2662,Yes,,,CUP
British Journal of Political Science,1469-2112,Yes,,,CUP
British Journal of Psychiatry,1472-1465,Yes,,,CUP
Bulletin of Entomological Research,1475-2670,Yes,,,CUP
Bulletin of Symbolic Logic,1943-5894,Yes,,,CUP
Bulletin of the Australian Mathematical Society,1755-1633,Yes,,,CUP
Bulletin of the School of Oriental and African Studies,1474-0699,Yes,,,CUP
