rank,full_journal_title,total_cites,journal_impact_factor,eigenfactor_score,full_title
1,CA-A CANCER JOURNAL FOR CLINICIANS,55868,508.702,0.10514,CA a Cancer Journal for Clinicians
2,NATURE REVIEWS MOLECULAR CELL BIOLOGY,58477,94.444,0.07548,Nature Reviews Molecular Cell Biology
3,NEW ENGLAND JOURNAL OF MEDICINE,464351,91.245,0.63118,New England Journal of Medicine
4,NATURE REVIEWS DRUG DISCOVERY,41989,84.694,0.04822,Nature Reviews Drug Discovery
5,LANCET,369601,79.321,0.44524,Lancet
6,Nature Reviews Clinical Oncology,17973,66.675,0.03876,Nature Reviews Clinical Oncology
7,Nature Reviews Materials,19887,66.308,0.05677,Nature Reviews Materials
8,Nature Energy,28166,60.858,0.08007,Nature Energy
9,NATURE REVIEWS CANCER,62391,60.716,0.05917,Nature Reviews Cancer
10,NATURE REVIEWS MICROBIOLOGY,43313,60.633,0.05415,Nature Reviews Microbiology
11,CHEMICAL REVIEWS,224417,60.622,0.21618,Chemical Reviews
12,MMWR Surveillance Summaries,3806,58.769,0.01298,MMWR Surveillance Summaries
13,"JAMA-JOURNAL OF THE AMERICAN MEDICAL
ASSOCIATION",224147,56.272,0.27975,Jama Journal of the American Medical Association
14,MMWR Recommendations and Reports,3288,55.857,0.01123,MMWR Recommendations and Reports
15,NATURE BIOTECHNOLOGY,78786,54.908,0.14567,Nature Biotechnology
16,CHEMICAL SOCIETY REVIEWS,173170,54.564,0.17657,Chemical Society Reviews
17,REVIEWS OF MODERN PHYSICS,58097,54.494,0.04506,Reviews of Modern Physics
18,NATURE MEDICINE,114401,53.44,0.18405,Nature Medicine
19,NATURE REVIEWS GENETICS,42803,53.242,0.05893,Nature Reviews Genetics
20,NATURE REVIEWS IMMUNOLOGY,55784,53.106,0.06392,Nature Reviews Immunology
21,Nature Reviews Disease Primers,14221,52.329,0.04355,Nature Reviews Disease Primers
22,NATURE,915925,49.962,1.0894,Nature
23,World Psychiatry,9619,49.548,0.02003,World Psychiatry
25,SCIENCE,814971,47.728,0.89576,Science
26,Nature Reviews Gastroenterology & Hepatology,15358,46.802,0.0286,Nature Reviews Gastroenterology and Hepatology
27,JOURNAL OF CLINICAL ONCOLOGY,189443,44.544,0.24903,Journal of Clinical Oncology
28,LANCET NEUROLOGY,43457,44.182,0.05956,Lancet Neurology
29,NATURE MATERIALS,112429,43.841,0.13005,Nature Materials
30,Nature Reviews Endocrinology,15040,43.33,0.02607,Nature Reviews Endocrinology
31,Nature Reviews Neurology,15738,42.937,0.02958,Nature Reviews Neurology
32,Nature Catalysis,9725,41.813,0.02989,Nature Catalysis
33,CELL,320407,41.582,0.52696,Cell
34,LANCET ONCOLOGY,72804,41.316,0.13853,Lancet Oncology
35,Joule,17275,41.248,0.04624,Joule
36,Living Reviews in Relativity,3407,40.429,0.00296,Living Reviews in Relativity
37,BMJ-British Medical Journal,158747,39.89,0.15062999999999999,BMJ British Medical Journal
38,PROGRESS IN MATERIALS SCIENCE,21332,39.58,0.01887,Progress in Materials Science
39,Cancer Discovery,27030,39.397,0.07246,Cancer Discovery
40,Nature Nanotechnology,75845,39.213,0.10679,Nature Nanotechnology
41,Nature Photonics,52833,38.771,0.0811,Nature Photonics
42,Energy & Environmental Science,101688,38.532,0.12908,Energy and Environmental Science
43,NATURE GENETICS,113066,38.33,0.18681,Nature Genetics
44,Psychological Science in the Public Interest,2337,37.857,0.00351,Psychological Science in the Public Interest
45,PHYSIOLOGICAL REVIEWS,35633,37.312,0.02338,Physiological Reviews
46,"MATERIALS SCIENCE & ENGINEERING R-
REPORTS",8652,36.214,0.00477,Materials Science and Engineering r Reports
