Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Adaptation,1755-0645,Yes,,,OUP
Advances in Nutrition*,2156-5376,Yes,,,OUP
Aesthetic Surgery Journal,1527-330X,Yes,,,OUP
African Affairs,1468-2621,Yes,,,OUP
Age and Ageing,1468-2834,Yes,,,OUP
Alcohol and Alcoholism,1464-3502,Yes,,,OUP
American Entomologist,2155-9902,Yes,,,OUP
"American Historical Review, The",1937-5239,No,Society not yet agreed to offer OA ,,OUP
"American Journal of Clinical Nutrition, The*",1938-3207,Yes,,,OUP
American Journal of Clinical Pathology,1943-7722,Yes,,,OUP
"American Journal of Comparative Law, The",2326-9197,Yes,,,OUP
American Journal of Epidemiology (1),1476-6256,Yes,,,OUP
American Journal of Health-System Pharmacy,1535-2900,Yes,,,OUP
American Journal of Hypertension,1941-7225,Yes,,,OUP
"American Journal of Jurisprudence, The",2049-6494,Yes,,,OUP
American Journal of Legal History,2161-797X,Yes,,,OUP
American Law and Economics Review,1465-7260,Yes,,,OUP
American Literary History,1468-4365,Yes,,,OUP
Analysis,1467-8284,Yes,,,OUP
Annals of Behavioral Medicine,1532-4796,Yes,,,OUP
Annals of Botany,1095-8290,Yes,,,OUP
Annals of the Entomological Society of America,1938-2901,Yes,,,OUP
Annals of Work Exposures and Health (1),1475-3162,Yes,,,OUP
Applied Linguistics,1477-450X,Yes,,,OUP
Arbitration International,1875-8398,Yes,,,OUP
Archives of Clinical Neuropsychology,1873-5843,Yes,,,OUP
Aristotelian Society Supplementary Volume,1467-8349,Yes,,,OUP
Astronomy & Geophysics,1468-4004,No,Society not yet agreed to offer OA ,,OUP
Behavioral Ecology,1465-7279,Yes,,,OUP
Bioinformatics,1460-2059,Yes,,,OUP
Biological Journal of the Linnean Society,1095-8312,Yes,,,OUP
Biology of Reproduction,1529-7268,Yes,,,OUP
Biometrika,1464-3510,Yes,,,OUP
BioScience,1525-3244,Yes,,,OUP
Bioscience Biotechnology and Biochemistry ,1347-6947,Yes,,,OUP
Biostatistics,1468-4357,Yes,,,OUP
BJS (British Journal of Surgery) ,1365-2168,Yes,,,OUP
Botanical Journal of the Linnean Society,1095-8339,Yes,,,OUP
Brain,1460-2156,Yes,,,OUP
Briefings in Bioinformatics,1477-4054,Yes,,,OUP
Briefings in Functional Genomics,2041-2657,Yes,,,OUP
"British Journal of Aesthetics, The",1468-2842,Yes,,,OUP
"British Journal of Criminology, The",1464-3529,Yes,,,OUP
"British Journal of Social Work, The",1468-263X,Yes,,,OUP
British Medical Bulletin,1471-8391,Yes,,,OUP
"British Yearbook of International Law, The",2044-9437,Yes,,,OUP
Bulletin of the Institute of Classical Studies ,2041-5370,Yes,,,OUP
Cambridge Journal of Economics,1464-3545,Yes,,,OUP
"Cambridge Journal of Regions, Economy and Society",1752-1386,Yes,,,OUP
"Cambridge Quarterly, The",1471-6836,Yes,,,OUP
Capital Markets Law Journal,1750-7227,Yes,,,OUP
Carcinogenesis,1460-2180,Yes,,,OUP
Cardiovascular Research,1755-3245,Yes,,,OUP
Cerebral Cortex,1460-2199,Yes,,,OUP
