Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
3 Biotech,2190-5738,Yes,,,Springer Nature (Springer)
4OR,1614-2411,Yes,,,Springer Nature (Springer)
AAPS PharmSciTech,1530-9932,Yes,,,Springer Nature (Springer)
Abdominal Radiology,2366-0058,Yes,,,Springer Nature (Springer)
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,1865-8784,Yes,,,Springer Nature (Springer)
aBIOTECH,2662-1738,Yes,,,Springer Nature (Springer)
Academic Psychiatry,1545-7230,Yes,,,Springer Nature (Springer)
Accreditation and Quality Assurance,1432-0517,Yes,,,Springer Nature (Springer)
Acoustical Physics,1562-6865,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acoustics Australia,1839-2571,Yes,,,Springer Nature (Springer)
Acta Analytica,1874-6349,Yes,,,Springer Nature (Springer)
Acta Applicandae Mathematicae,1572-9036,Yes,,,Springer Nature (Springer)
Acta Biotheoretica,1572-8358,Yes,,,Springer Nature (Springer)
Acta Diabetologica,1432-5233,Yes,,,Springer Nature (Springer)
acta ethologica,1437-9546,Yes,,,Springer Nature (Springer)
Acta Geochimica,2365-7499,Yes,,,Springer Nature (Springer)
Acta Geodaetica et Geophysica,2213-5820,Yes,,,Springer Nature (Springer)
Acta Geophysica,1895-7455,Yes,,,Springer Nature (Springer)
Acta Geotechnica,1861-1133,Yes,,,Springer Nature (Springer)
Acta Informatica,1432-0525,Yes,,,Springer Nature (Springer)
Acta Mathematica Hungarica,1588-2632,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acta Mathematica Scientia,1572-9087,Yes,,,Springer Nature (Springer)
"Acta Mathematica Sinica, English Series",1439-7617,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acta Mathematica Vietnamica,2315-4144,Yes,,,Springer Nature (Springer)
"Acta Mathematicae Applicatae Sinica, English Series",1618-3932,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Acta Mechanica,1619-6937,Yes,,,Springer Nature (Springer)
Acta Mechanica Sinica,1614-3116,Yes,,,Springer Nature (Springer)
Acta Mechanica Solida Sinica,1860-2134,Yes,,,Springer Nature (Springer)
Acta Metallurgica Sinica (English Letters),2194-1289,Yes,,,Springer Nature (Springer)
Acta Neurochirurgica,0942-0940,Yes,,,Springer Nature (Springer)
Acta Neurologica Belgica,2240-2993,Yes,,,Springer Nature (Springer)
Acta Neuropathologica,1432-0533,Yes,,,Springer Nature (Springer)
Acta Oceanologica Sinica,1869-1099,Yes,,,Springer Nature (Springer)
Acta Parasitologica,1896-1851,Yes,,,Springer Nature (Springer)
Acta Pharmacologica Sinica,1745-7254,Yes,,,Springer Nature (Academic Journals on Nature.com)
Acta Physiologiae Plantarum,1861-1664,Yes,,,Springer Nature (Springer)
Acta Politica,1741-1416,Yes,,,Springer Nature (Palgrave Macmillan)
Adaptive Human Behavior and Physiology,2198-7335,Yes,,,Springer Nature (Springer)
adhäsion KLEBEN & DICHTEN,2192-8681,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
