4 or a Quarterly Journal of Operations Research,4or-q J Oper Res,1.545
Aapg Bulletin,Aapg Bull,3.529
Aaps Journal,Aaps J,4.009
Aaps Pharmscitech,Aaps Pharmscitech,3.246
Aatcc Review,Aatcc Rev,0.111
Abacus a Journal of Accounting Finance and Business Studies,Abacus,2.378
Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg,Abh Math Sem Hamburg,0.382
Academia Revista Latinoamericana De Administracion,Acad-rev Latinoam Ad,1.108
Academic Emergency Medicine,Acad Emerg Med,3.451
Academic Medicine,Acad Med,6.893
Academic Pediatrics,Acad Pediatr,3.107
Academic Psychiatry,Acad Psychiatr,3.293
Academic Radiology,Acad Radiol,3.173
Academy of Management Annals,Acad Manag Ann,16.438
Academy of Management Journal,Acad Manage J,10.194
Academy of Management Learning Education,Acad Manag Learn Edu,4.373
Academy of Management Perspectives,Acad Manage Perspect,7.846
Academy of Management Review,Acad Manage Rev,12.638
Acarologia,Acarologia,1.242
Accident Analysis and Prevention,Accident Anal Prev,4.993
Accountability in Research Policies and Quality Assurance,Account Res,2.622
Accounting and Business Research,Account Bus Res,3.063
Accounting and Finance,Account Financ,2.942
Accounting Horizons,Account Horiz,2.162
Accounting Organizations and Society,Account Org Soc,4
Accounting Review,Account Rev,4.301
Accounts of Chemical Research,Accounts Chem Res,22.384
Accreditation and Quality Assurance,Accredit Qual Assur,0.655
Aci Materials Journal,Aci Mater J,1.802
Aci Structural Journal,Aci Struct J,1.744
Acm Computing Surveys,Acm Comput Surv,10.282
Acm Journal on Emerging Technologies in Computing Systems,Acm J Emerg Tech Com,1.42
Acm Transactions on Algorithms,Acm T Algorithms,1.14
Acm Transactions on Applied Perception,Acm T Appl Percept,1.55
Acm Transactions on Architecture and Code Optimization,Acm T Archit Code Op,0.919
Acm Transactions on Autonomous and Adaptive Systems,Acm T Auton Adap Sys,0.971
Acm Transactions on Computational Logic,Acm T Comput Log,0.625
Acm Transactions on Computer Human Interaction,Acm T Comput-hum Int,2.351
Acm Transactions on Computer Systems,Acm T Comput Syst,1.75
Acm Transactions on Database Systems,Acm T Database Syst,1.086
Acm Transactions on Design Automation of Electronic Systems,Acm T Des Automat El,0.964
Acm Transactions on Embedded Computing Systems,Acm T Embed Comput S,1.193
Acm Transactions on Graphics,Acm T Graphic,5.414
Acm Transactions on Information Systems,Acm T Inform Syst,4.797
Acm Transactions on Internet Technology,Acm T Internet Techn,3.135
Acm Transactions on Mathematical Software,Acm T Math Software,1.704
Acm Transactions on Modeling and Computer Simulation,Acm T Model Comput S,1.075
Acm Transactions on Multimedia Computing Communications and Applications,Acm T Multim Comput,3.144
Acm Transactions on Programming Languages and Systems,Acm T Progr Lang Sys,0.41
Acm Transactions on Sensor Networks,Acm T Sensor Network,2.253
Acm Transactions on Sensor Networks,Acm Trans Sens Netw,2.253
Acm Transactions on Software Engineering and Methodology,Acm T Softw Eng Meth,2.674
Acm Transactions on the Web,Acm T Web,2.043
Acoustical Physics,Acoust Phys+,0.856
Acoustics Australia,Acoust Aust,1.5
Across Languages and Cultures,Across Lang Cult,1.16
Acs Applied Materials Interfaces,Acs Appl Mater Inter,9.229
Acs Catalysis,Acs Catal,13.084
Acs Chemical Biology,Acs Chem Biol,5.1
Acs Chemical Neuroscience,Acs Chem Neurosci,4.418
Acs Combinatorial Science,Acs Comb Sci,3.784
Acs Medicinal Chemistry Letters,Acs Med Chem Lett,4.345
Acsms Health Fitness Journal,Acsms Health Fit J,1.364
Acs Nano,Acs Nano,15.881
Acta Acustica United with Acustica,Acta Acust United Ac,0.762
Acta Adriatica,Acta Adriat,0.739
Acta Agriculturae Scandinavica Section a Animal Science,Acta Agr Scand A-an,0.684
Acta Agriculturae Scandinavica Section b Soil and Plant Science,Acta Agr Scand B-s P,1.694
Acta Alimentaria,Acta Aliment Hung,0.65
Acta Anaesthesiologica Scandinavica,Acta Anaesth Scand,2.105
Acta Applicandae Mathematicae,Acta Appl Math,1.215
Acta Arithmetica,Acta Arith,0.608
Acta Astronautica,Acta Astronaut,2.413
Acta Astronomica,Acta Astronom,2.477
Acta Biochimica et Biophysica Sinica,Acta Bioch Bioph Sin,3.848
Acta Biochimica Polonica,Acta Biochim Pol,2.149
Acta Bioethica,Acta Bioeth,0.408
Acta Bioethica,Acta Bioeth,0.408
Acta Biologica Cracoviensia Series Botanica,Acta Biol Cracov Bot,0.938
Acta Biomaterialia,Acta Biomater,8.947
Acta Bioquimica Clinica Latinoamericana,Acta Bioquim Clin L,0.128
Acta Biotheoretica,Acta Biotheor,1.774
Acta Botanica Brasilica,Acta Bot Bras,1.268
Acta Botanica Croatica,Acta Bot Croat,0.943
Acta Botanica Mexicana,Acta Bot Mex,0.96
Acta Cardiologica,Acta Cardiol,1.718
Acta Cardiologica Sinica,Acta Cardiol Sin,2.672
Acta Carsologica,Acta Carsologica,0.844
Acta Chimica Sinica,Acta Chim Sinica,2.668
Acta Chimica Slovenica,Acta Chim Slov,1.735
Acta Chiropterologica,Acta Chiropterol,1.073
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,Acta Chir Orthop Tr,0.531
Acta Chirurgica Belgica,Acta Chir Belg,1.09
Acta Chromatographica,Acta Chromatogr,1.639
Acta Cirurgica Brasileira,Acta Cir Bras,1.388
Acta Clinica Belgica,Acta Clin Belg,1.264
Acta Clinica Croatica,Acta Clin Croat,0.78
Acta Cytologica,Acta Cytol,2.319
Acta Dermato Venereologica,Acta Derm-venereol,4.437
Acta Dermatovenerologica Croatica,Acta Dermatovener Cr,1.256
Acta Diabetologica,Acta Diabetol,4.28
