rank,full_journal_title,total_cites,journal_impact_factor,eigenfactor_score,journal_IF,full_title
1,CA-A CANCER JOURNAL FOR CLINICIANS,"55,868",508.702,0.105140,508.702,Ca a Cancer Journal for Clinicians
2,BIOLOGY,"58,477",94.444,0.075480,94.444,Biology
3,NEW ENGLAND JOURNAL OF MEDICINE,"464,351",91.245,0.631180,91.245,New England Journal of Medicine
4,NATURE REVIEWS DRUG DISCOVERY,"41,989",84.694,0.048220,84.694,Nature Reviews Drug Discovery
5,LANCET,"369,601",79.321,0.445240,79.321,Lancet
6,Nature Reviews Clinical Oncology,"17,973",66.675,0.038760,66.675,Nature Reviews Clinical Oncology
7,Nature Reviews Materials,"19,887",66.308,0.056770,66.308,Nature Reviews Materials
8,Nature Energy,"28,166",60.858,0.080070,60.858,Nature Energy
9,NATURE REVIEWS CANCER,"62,391",60.716,0.059170,60.716,Nature Reviews Cancer
10,NATURE REVIEWS MICROBIOLOGY,"43,313",60.633,0.054150,60.633,Nature Reviews Microbiology
11,CHEMICAL REVIEWS,"224,417",60.622,0.216180,60.622,Chemical Reviews
12,MMWR Surveillance Summaries,"3,806",58.769,0.012980,58.769,Mmwr Surveillance Summaries
13,ASSOCIATION,"224,147",56.272,0.279750,56.272,Association
14,MMWR Recommendations and Reports,"3,288",55.857,0.011230,55.857,Mmwr Recommendations and Reports
15,NATURE BIOTECHNOLOGY,"78,786",54.908,0.145670,54.908,Nature Biotechnology
16,CHEMICAL SOCIETY REVIEWS,"173,170",54.564,0.176570,54.564,Chemical Society Reviews
17,REVIEWS OF MODERN PHYSICS,"58,097",54.494,0.045060,54.494,Reviews of Modern Physics
18,NATURE MEDICINE,"114,401",53.440,0.184050,53.44,Nature Medicine
19,NATURE REVIEWS GENETICS,"42,803",53.242,0.058930,53.242,Nature Reviews Genetics
20,NATURE REVIEWS IMMUNOLOGY,"55,784",53.106,0.063920,53.106,Nature Reviews Immunology
21,Nature Reviews Disease Primers,"14,221",52.329,0.043550,52.329,Nature Reviews Disease Primers
22,NATURE,"915,925",49.962,1.089400,49.962,Nature
23,World Psychiatry,"9,619",49.548,0.020030,49.548,World Psychiatry
